  61 17 21 19.1433 -51 07 22.633 Gaia DR3 5925437216328405760 HD 156643                        HIP 84924   7.63   7.79   6.21  0.640 0.805 25.75 G1V             0.938 5p  30 9 0.210 1.199 0.153 0.087 0.082 0.135 4.7e-03    2.8  5.8 2.06  52.93                   0 0
  62 20 38 21.0987 -04 30 42.806 Gaia DR3 4224388549397995520 HD 196554                        HIP 101852  7.63   7.77   6.33  0.590 0.755 22.94 G0V             0.999 5p  58 9 0.298 1.702 0.154 0.087 0.076 0.240 0.0e+00 9999.0 12.0 2.10  48.16                   2 0
  63 12 31 18.2717 +20 13 01.414 Gaia DR3 3949377704625720192 HD 108984                        HIP 61099   7.69          5.90        1.020 37.96 K0V             0.813 5p  37 9 0.208 1.270 0.150 0.089 0.077 0.146 4.2e-04    3.5  3.8 1.96  74.41                   0 0
  64 23 31 20.7050 -58 12 35.117 Gaia DR3 6489603813690967808 HD 221287                        HIP 116084  7.69   7.81   6.57  0.500 0.663 17.87 F7V             1.142 5p  58 9 0.157 1.223 0.160 0.088 0.074 0.123 2.8e-03    3.0  8.7 2.20  39.23                   0 1
  65 12 51 52.0833 +00 05 05.307 Gaia DR3 3689813005359244928 HD 111816                        HIP 62776   7.71   7.82   6.56  0.510 0.676 18.40 F6V             1.121 5p  42 9 0.199 1.218 0.159 0.089 0.079 0.135 2.4e-03    3.0  9.1 2.18  40.14                   2 0
  66 10 28 13.8661 -16 17 19.587 Gaia DR3 3748775965666132992 HD  90722                        HIP 51258   7.71   7.86   6.26  0.730 0.860 19.20 G5/6IV          0.939 5p  24 9 0.156 1.239 0.150 0.089 0.074 0.137 6.6e-03    2.7  7.9 2.06  39.48                   0 0
  67 22 35 15.3900 -78 36 51.105 Gaia DR3 6352307762371430144 HD 213401                        HIP 111486  7.74   7.88   6.36  0.670 0.804 15.25 G5IV/V(+F/G)    1.051 5p  43 9 0.190 1.229 0.152 0.090 0.076 0.131 1.9e-03    3.1 10.2 2.14  32.56                   0 0
  68 15 00 22.8456 +07 44 05.725 Gaia DR3 1161423035887848320 HD 132720                        HIP 73434   7.76   7.89   6.46  0.580 0.720 18.43 F5              1.061 5p  21 9 0.270 1.537 0.158 0.090 0.072 0.208 1.0e-05    4.4 13.5 2.14  39.47                   0 0
  69 11 44 39.2200 -29 53 04.901 Gaia DR3 3480395137355028480 HD 102071                        HIP 57271   7.76   7.96   6.06  0.800 0.969 34.30 K0.5V           0.831 5p  63 9 0.286 1.688 0.150 0.091 0.076 0.240 0.0e+00 9999.0  7.1 1.97  67.73                   1 0
  70 00 25 11.1111 +16 59 29.938 Gaia DR3 2793182094909155584 HD   2085                        HIP 1989    7.76   7.90   6.74  0.490 0.681 16.12 F5              1.143 5p  56 9 0.221 1.342 0.160 0.090 0.077 0.164 0.0e+00    4.6 12.8 2.20  35.40                   2 0
  71 19 23 24.6884 +20 34 04.726 Gaia DR3 4516726426141479808 HD 182335                        HIP 95309   7.78          6.33        0.745 21.57 G2IVw           1.024 5p  72 9 0.297 1.565 0.157 0.091 0.070 0.202 0.0e+00    7.3 10.9 2.12  45.67 WDS J19234+2034A  0 0
  72 03 41 15.8298 +45 53 45.089 Gaia DR3  244840902839984000 HD  22743                        HIP 17217   7.78          6.37        0.811 18.76 F8              0.958 5p  39 9 0.253 1.637 0.153 0.091 0.072 0.225 0.0e+00    6.7 13.4 2.07  38.84 WDS J03413+4554AB 0 0
  73 23 32 04.5954 -43 35 23.851 Gaia DR3 6534858166102087040 HD 221402                        HIP 116154  7.83   7.95         0.600 0.758 21.45 F8/G2           1.017 5p  41 9 0.147 1.308 0.157 0.091 0.074 0.150 3.2e-04    3.6  8.1 2.11  45.29                   0 0
  74 19 00 00.8125 -69 56 42.335 Gaia DR3 6421118739093252224 HD 175167                        HIP 93281   7.84   8.00   6.29  0.780 0.900 14.04 G5IV/V          1.089 5p  73 9 0.181 1.173 0.150 0.092 0.074 0.108 3.1e-03    3.0  9.4 2.16  30.34                   1 1
  75 14 29 25.7858 -80 06 11.903 Gaia DR3 5773039578928432000 HD 125856A                                   7.91   8.03   6.64  0.440 0.612 14.12                 1.211 5p  39 9 0.196 1.236 0.162 0.092 0.075 0.139 2.6e-03    3.0 12.9 2.24  31.61 WDS J14295-8006A  0 0
  76 15 53 19.9735 +04 15 11.846 Gaia DR3 4426054581256895104 HD 142229                        HIP 77810   7.91   8.08   6.61  0.620 0.784 21.68 G5V             0.973 5p  33 9 0.195 1.320 0.156 0.092 0.071 0.151 8.4e-04    3.3  7.8 2.08  45.12                   0 0
  77 17 45 03.1040 +19 17 26.425 Gaia DR3 4552227182675443584 HD 161479                        HIP 86882   7.96   8.11   6.45  0.783 0.893 20.23 K0              0.909 5p  65 9 0.244 1.479 0.151 0.092 0.072 0.188 0.0e+00    6.6 10.0 2.03  41.16                   3 0
